satisfaction,evaluation,projects,hours,history,accident,left,promotion,department,salary
0.95,0.59,0.004084866438794941,0.006069921338575942,0.008616048637525053,No,No,No,sales,high
0.65,0.53,0.010212166096987352,0.005596940455050545,0.006462036478143789,No,No,No,technical,medium
0.62,0.61,0.00612729965819241,0.010484409584812992,0.0043080243187625265,No,No,No,technical,high
0.35,0.52,0.00612729965819241,0.006582317295728457,0.0043080243187625265,No,No,No,management,low
0.5,1.0,0.010212166096987352,0.010405579437558758,0.017232097275050106,No,No,Yes,sales,high
0.41,0.55,0.004084866438794941,0.005951676117694593,0.006462036478143789,No,Yes,No,sales,low
0.88,0.89,0.004084866438794941,0.007922429799050418,0.006462036478143789,No,No,No,sales,high
0.39,0.5,0.008169732877589882,0.011588031646372255,0.006462036478143789,No,Yes,No,technical,low
0.89,0.86,0.00612729965819241,0.007015883105626739,0.008616048637525053,No,No,No,sales,medium
0.39,0.57,0.004084866438794941,0.006148751485830176,0.006462036478143789,No,Yes,No,technical,low
0.97,0.82,0.00612729965819241,0.005321034939660729,0.0043080243187625265,No,No,No,technical,low
0.41,0.5,0.01225459931638482,0.010129673922168942,0.012924072956287579,Yes,No,No,management,low
0.95,0.61,0.00612729965819241,0.008828976492474098,0.0043080243187625265,Yes,No,No,management,low
0.72,0.85,0.010212166096987352,0.009617277965016428,0.012924072956287579,No,Yes,No,sales,low
0.81,0.95,0.008169732877589882,0.01083914524745704,0.010770060796906317,No,Yes,No,sales,medium
0.83,0.8,0.008169732877589882,0.010799730173829923,0.006462036478143789,No,No,No,technical,high
0.89,0.47,0.008169732877589882,0.0042568279517285834,0.006462036478143789,No,No,No,technical,low
0.91,0.97,0.010212166096987352,0.009183712155118148,0.010770060796906317,No,Yes,No,management,medium
0.76,0.83,0.00612729965819241,0.007331203694643671,0.0043080243187625265,Yes,No,No,technical,medium
0.97,0.95,0.008169732877589882,0.006818807737491156,0.0043080243187625265,No,No,No,technical,low
0.51,0.63,0.010212166096987352,0.010247919143050293,0.0043080243187625265,No,No,No,technical,high
0.3,0.86,0.00612729965819241,0.010878560321084156,0.010770060796906317,Yes,No,No,sales,low
0.78,0.8,0.00612729965819241,0.010090258848541827,0.0043080243187625265,No,No,No,management,medium
0.16,0.46,0.01225459931638482,0.009459617670507962,0.0043080243187625265,No,No,No,technical,low
0.86,0.91,0.008169732877589882,0.009972013627660477,0.006462036478143789,No,No,No,management,low
0.36,0.48,0.004084866438794941,0.006266996706711525,0.006462036478143789,No,Yes,No,technical,low
0.81,0.75,0.008169732877589882,0.009577862891389313,0.0043080243187625265,No,No,No,sales,low
0.18,0.49,0.00612729965819241,0.009459617670507962,0.0043080243187625265,Yes,No,No,management,low
0.52,0.52,0.008169732877589882,0.006621732369355574,0.006462036478143789,No,No,No,technical,medium
0.49,0.59,0.008169732877589882,0.0053998650869149616,0.008616048637525053,No,No,No,technical,high
0.77,0.9,0.008169732877589882,0.004099167657220117,0.010770060796906317,No,No,No,technical,low
0.84,0.43,0.01225459931638482,0.009696108112270662,0.008616048637525053,No,No,No,technical,medium
0.99,0.64,0.00612729965819241,0.006858222811118273,0.008616048637525053,No,No,No,management,low
0.64,0.91,0.010212166096987352,0.009696108112270662,0.006462036478143789,No,No,No,management,low
0.12,0.42,0.00612729965819241,0.004335658098982816,0.0043080243187625265,No,No,No,sales,medium
0.69,0.74,0.010212166096987352,0.008947221713355448,0.0043080243187625265,No,No,No,technical,medium
0.39,0.54,0.004084866438794941,0.005005714350643797,0.006462036478143789,No,Yes,No,sales,low
0.5,0.81,0.00612729965819241,0.005833430896813243,0.0043080243187625265,No,No,No,sales,low
0.91,0.59,0.008169732877589882,0.006976468031999622,0.008616048637525053,No,No,No,management,medium
0.37,0.54,0.004084866438794941,0.005202789718779379,0.006462036478143789,No,Yes,No,technical,low
0.17,0.75,0.00612729965819241,0.007410033841897904,0.008616048637525053,No,Yes,No,technical,low
0.43,0.53,0.004084866438794941,0.005754600749559011,0.006462036478143789,No,Yes,No,management,low
0.6,0.67,0.00612729965819241,0.00981435333315201,0.0043080243187625265,No,No,No,sales,medium
0.37,0.41,0.01225459931638482,0.003980922436338768,0.006462036478143789,No,No,No,technical,low
